TIME,POSITION,VELOCITY
3.15, -0.999965, 0.008407
3.16, -0.999831, 0.018406
3.17, -0.999597, 0.028404
3.18, -0.999263, 0.038398
3.19, -0.998829, 0.048388
3.20, -0.998295, 0.058374
3.21, -0.997661, 0.068354
3.22, -0.996928, 0.078327
3.23, -0.996095, 0.088292
3.24, -0.995162, 0.098249
3.25, -0.994130, 0.108195
3.26, -0.992998, 0.118131
3.27, -0.991767, 0.128055
3.28, -0.990437, 0.137966
3.29, -0.989008, 0.147863
3.30, -0.987480, 0.157746
3.31, -0.985853, 0.167612
3.32, -0.984128, 0.177462
3.33, -0.982304, 0.187295
3.34, -0.980382, 0.197108
3.35, -0.978362, 0.206902
3.36, -0.976244, 0.216675
3.37, -0.974028, 0.226427
3.38, -0.971715, 0.236155
3.39, -0.969305, 0.245861
3.40, -0.966798, 0.255541
3.41, -0.964194, 0.265196
3.42, -0.961494, 0.274825
3.43, -0.958698, 0.284426
3.44, -0.955806, 0.293998
3.45, -0.952818, 0.303542
3.46, -0.949735, 0.313054
3.47, -0.946557, 0.322536
3.48, -0.943285, 0.331985
3.49, -0.939918, 0.341401
3.50, -0.936457, 0.350783
3.51, -0.932902, 0.360130
3.52, -0.929254, 0.369441
3.53, -0.925513, 0.378715
3.54, -0.921680, 0.387951
3.55, -0.917755, 0.397148
3.56, -0.913737, 0.406306
3.57, -0.909629, 0.415423
3.58, -0.905429, 0.424498
3.59, -0.901139, 0.433531
3.60, -0.896758, 0.442520
3.61, -0.892288, 0.451466
3.62, -0.887729, 0.460366
3.63, -0.883081, 0.469220
3.64, -0.878345, 0.478027
3.65, -0.873521, 0.486787
3.66, -0.868609, 0.495497
3.67, -0.863611, 0.504159
3.68, -0.858526, 0.512769
3.69, -0.853356, 0.521329
3.70, -0.848100, 0.529836
3.71, -0.842759, 0.538291
3.72, -0.837334, 0.546691
3.73, -0.831826, 0.555037
3.74, -0.826234, 0.563327
3.75, -0.820559, 0.571561
3.76, -0.814803, 0.579738
3.77, -0.808965, 0.587857
3.78, -0.803046, 0.595917
3.79, -0.797047, 0.603918
3.80, -0.790968, 0.611858
3.81, -0.784810, 0.619737
3.82, -0.778573, 0.627554
3.83, -0.772259, 0.635308
3.84, -0.765867, 0.642999
3.85, -0.759399, 0.650625
3.86, -0.752855, 0.658186
3.87, -0.746236, 0.665682
3.88, -0.739542, 0.673111
